stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\C(++) Projects\_C++\Game Engine\MakaiLib\bin\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.00971] added dtor for sub_bitmap 0000000000e35330, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00974] added dtor for sub_bitmap 0000000000e34a70, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00978] added dtor for sub_bitmap 0000000000e356b0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00980] added dtor for sub_bitmap 0000000000e35870, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00982] added dtor for sub_bitmap 0000000000e33ab0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00985] added dtor for sub_bitmap 0000000000e341b0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00988] added dtor for sub_bitmap 0000000000e33c70, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00993] added dtor for sub_bitmap 0000000000e34370, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00995] added dtor for sub_bitmap 0000000000e34c30, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00997] added dtor for sub_bitmap 0000000000e34530, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01004] added dtor for sub_bitmap 0000000000e33e30, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01006] added dtor for sub_bitmap 0000000000e33ff0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01012] added dtor for sub_bitmap 0000000000e368c0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01017] added dtor for sub_bitmap 0000000000e37880, func 00007ffd74781bf8
